priors,school,violations,age,timeserved,alcohol,drugs,release,married,degree,gender,type,property,person,recid
9,15,0,44.66666667,0.25,1,0,1,0,0,1,0,0,0,1
3,12,0,20.66666667,0.333333333,0,0,0,0,0,1,0,0,0,0
1,12,0,28.83333333,1.5,0,1,1,1,1,1,2,1,0,1
1,9,2,21.58333333,2.416666667,0,1,1,0,0,1,0,0,0,0
0,10,1,23.83333333,4.5,0,0,1,0,0,1,0,0,0,1
1,7,7,36.25,2.916666667,0,1,1,0,0,1,0,0,0,1
0,9,0,21.5,0.25,0,0,1,1,0,1,0,0,0,0
0,9,0,17.91666667,0.583333333,0,1,0,0,0,1,0,0,0,0
3,10,27,24,4.583333333,0,0,0,1,0,1,2,1,0,1
0,10,2,27.16666667,0.916666667,1,0,1,0,0,1,0,0,0,1
0,5,0,56.25,1.083333333,0,1,1,0,1,1,1,0,1,0
0,12,0,21.83333333,0.833333333,0,0,0,0,0,1,0,0,0,0
0,12,0,22,0.5,0,0,1,0,0,1,2,1,0,0
1,12,0,23.33333333,0.416666667,0,0,0,0,0,1,0,0,0,1
0,8,1,21.08333333,2.166666667,0,0,1,0,1,1,2,1,0,1
0,8,0,23.08333333,0.666666667,0,0,1,0,0,1,0,0,0,0
3,12,0,25.58333333,2.833333333,1,0,0,0,0,1,0,0,0,1
3,8,0,66.91666667,0.583333333,0,0,1,0,0,1,0,0,0,0
0,6,1,32.08333333,1,0,1,1,1,1,1,0,0,0,0
0,9,0,20.75,0.333333333,0,0,1,0,0,1,0,0,0,0
1,12,4,26.08333333,2.5,1,1,1,1,0,1,0,0,0,0
0,9,1,20.16666667,3.166666667,0,0,0,0,1,1,2,1,0,0
0,10,2,18.16666667,0.75,1,1,0,0,0,1,0,0,0,1
0,10,0,24.33333333,2.25,0,0,1,1,0,1,2,1,0,1
0,12,0,24.75,0.25,0,0,1,1,0,1,0,0,0,1
0,11,0,26.83333333,0.666666667,0,0,1,0,1,0,2,1,0,0
0,11,0,19.83333333,0.666666667,0,0,1,0,0,1,0,0,0,0
0,11,0,24.58333333,0.333333333,0,0,1,1,0,1,1,0,1,0
0,10,1,23,1.25,0,0,1,1,0,1,0,0,0,1
0,10,0,21.08333333,0.416666667,1,0,1,0,0,1,0,0,0,0
0,9,0,19.91666667,0.5,0,0,1,0,0,1,0,0,0,0
1,12,4,32.83333333,0.666666667,0,0,0,0,0,1,0,0,0,0
1,9,2,22.16666667,1.583333333,0,0,0,0,1,1,2,1,0,1
2,10,0,29.66666667,0.666666667,0,0,0,0,0,1,0,0,0,0
4,11,0,30.16666667,0.5,0,1,0,0,0,1,0,0,0,0
0,11,0,20.66666667,0.75,1,1,1,1,0,1,0,0,0,0
0,9,0,19.25,0.25,0,0,1,0,0,1,0,0,0,0
2,6,0,34.66666667,2.666666667,0,1,1,1,1,1,2,1,0,1
0,12,0,22.16666667,0.5,0,0,1,0,0,1,0,0,0,0
0,9,3,23.5,2.25,0,0,1,0,1,1,1,0,1,0
1,10,0,26.16666667,0.583333333,0,0,1,0,0,1,0,0,0,0
1,11,0,27.83333333,4,0,0,1,0,1,1,2,1,0,1
2,11,2,29,6.25,0,0,0,0,1,1,2,1,0,1
0,11,2,29.75,2.5,1,0,1,0,1,1,2,1,0,0
8,12,0,34.75,0.583333333,0,1,0,0,1,1,2,1,0,0
6,8,0,27,0.916666667,0,0,0,0,0,0,0,0,0,1
0,16,1,33.08333333,1.333333333,0,0,1,1,0,1,0,0,0,0
0,7,0,32.75,0.666666667,0,1,1,1,0,1,0,0,0,0
0,11,0,20.83333333,0.416666667,0,0,0,0,0,1,0,0,0,1
0,7,0,42.66666667,0.5,0,1,1,1,0,1,0,0,0,1
0,14,0,52.66666667,1.666666667,0,0,1,0,1,1,2,1,0,1
0,9,0,43.5,0.75,1,0,1,0,0,1,0,0,0,0
0,11,2,19.41666667,1.166666667,0,0,1,0,0,1,0,0,0,0
9,8,0,55.83333333,1,0,1,0,0,0,1,0,0,0,0
0,11,1,29,3.416666667,0,0,1,0,1,1,2,1,0,0
0,12,0,22.91666667,2.583333333,1,0,1,0,1,1,0,0,0,0
0,10,0,18.08333333,0.416666667,0,0,0,0,0,1,0,0,0,1
0,9,0,17.16666667,0.5,0,0,0,0,0,1,0,0,0,1
0,6,0,60.83333333,1.083333333,0,0,1,1,1,1,1,0,1,0
7,8,1,38.25,0.666666667,1,0,1,0,0,1,0,0,0,1
0,12,0,53.66666667,0.333333333,0,0,1,0,0,1,0,0,0,0
0,12,0,30.66666667,0.5,1,0,1,1,0,1,0,0,0,0
7,9,0,29.16666667,0.5,0,1,0,0,0,1,0,0,0,0
0,8,2,21.83333333,3,0,0,1,0,0,1,0,0,0,1
0,4,0,38.08333333,0.416666667,1,0,1,1,0,1,0,0,0,0
0,10,0,19,0.75,0,1,1,0,0,1,0,0,0,0
2,11,0,35.25,0.416666667,0,0,1,1,0,1,0,0,0,0
0,12,0,20.25,3.5,0,0,1,0,1,1,2,1,0,1
1,8,4,25,4.666666667,0,0,1,0,0,1,0,0,0,1
5,10,0,47.75,0.25,0,0,1,0,0,1,0,0,0,1
2,7,1,47.41666667,5.25,0,0,1,0,1,1,1,0,1,0
1,10,1,26.75,3.166666667,0,1,1,0,1,1,2,1,0,1
0,12,4,29,2,1,1,1,0,0,1,0,0,0,0
1,8,0,17.75,0.583333333,0,0,1,0,0,1,0,0,0,1
0,10,0,22.83333333,2,0,0,1,0,1,1,2,1,0,0
1,10,4,24.66666667,3.166666667,0,0,0,0,1,1,2,1,0,1
3,12,2,35.33333333,4.5,0,0,0,0,1,1,2,1,0,0
1,6,0,64.66666667,2.5,0,0,1,0,0,1,0,0,0,0
1,12,0,27.75,0.583333333,0,0,0,0,0,1,0,0,0,0
1,11,8,23.75,7.333333333,1,1,1,0,1,1,2,1,0,1
0,8,0,17.91666667,0.5,0,0,0,0,0,1,0,0,0,0
1,12,1,28,1.416666667,0,0,1,1,0,1,0,0,0,0
1,13,5,24.33333333,6.833333333,1,0,1,0,1,1,2,1,0,1
0,7,1,26.08333333,1,0,0,1,0,1,1,2,1,0,0
0,7,0,42.5,0.916666667,1,0,0,1,0,1,0,0,0,0
1,12,0,27.66666667,1.333333333,0,0,1,1,1,1,2,1,0,0
0,12,1,21.16666667,3.75,0,0,1,0,1,1,2,1,0,0
2,11,8,28.08333333,8.666666667,0,0,1,0,1,1,2,1,0,1
3,11,2,26.83333333,3.083333333,0,0,1,0,1,1,2,1,0,1
0,12,0,27.91666667,0.916666667,0,1,1,0,0,0,0,0,0,1
2,10,0,26.25,4.166666667,0,1,1,0,1,1,2,1,0,1
1,11,0,22.5,0.416666667,0,1,1,1,0,1,0,0,0,0
0,8,1,17.16666667,0.5,0,0,1,0,0,1,0,0,0,0
0,12,1,29.75,1.333333333,0,0,1,1,0,1,0,0,0,1
0,8,3,24.33333333,3.416666667,0,0,1,0,1,1,0,0,0,1
5,10,0,34.66666667,0.416666667,0,0,0,0,0,1,0,0,0,1
0,12,0,32,0.75,0,0,1,1,0,1,0,0,0,0
0,12,0,25.33333333,0.5,0,0,1,1,0,1,0,0,0,0
0,11,0,23.25,0.833333333,0,0,1,0,0,1,0,0,0,0
4,4,0,67.66666667,1.833333333,0,0,1,0,1,1,1,0,1,0
0,10,0,17,0.25,0,0,0,0,0,1,0,0,0,1
0,9,2,33.25,1.333333333,0,1,1,0,0,1,0,0,0,1
0,8,0,22.75,0.583333333,0,1,1,0,0,1,0,0,0,0
2,11,0,41.75,3,0,0,1,1,1,1,1,0,1,0
0,9,1,27.08333333,2.083333333,0,0,1,0,0,0,2,1,0,0
4,7,0,43.08333333,1.833333333,0,1,0,0,0,1,0,0,0,0
0,10,0,21.58333333,1.083333333,0,0,1,0,0,1,0,0,0,1
0,12,0,22,1,0,0,1,0,0,1,0,0,0,0
10,14,1,31.91666667,2.75,0,0,1,1,1,1,2,1,0,0
3,6,0,50.91666667,0.666666667,0,0,1,1,0,1,0,0,0,1
0,11,1,30.75,1.083333333,0,1,1,1,1,1,0,0,0,0
6,8,0,30.08333333,3.666666667,0,0,1,0,1,1,2,1,0,1
1,5,0,33.16666667,0.583333333,0,0,1,0,0,1,0,0,0,0
0,10,0,18.83333333,0.333333333,0,1,1,0,0,1,0,0,0,1
0,11,4,23.33333333,2.333333333,0,0,1,0,1,1,0,0,0,1
0,12,0,38.16666667,1.083333333,0,0,1,1,0,1,0,0,0,0
0,14,0,25.75,0.333333333,0,0,1,0,0,0,0,0,0,1
0,4,0,32.5,0.583333333,0,0,1,0,1,0,2,1,0,0
0,5,0,74.08333333,0.583333333,1,0,1,1,0,1,0,0,0,0
0,8,1,32.08333333,3.666666667,0,0,1,0,1,1,2,1,0,0
0,14,1,29.5,2.083333333,0,0,1,0,0,1,0,0,0,0
0,9,1,24.25,0.916666667,0,1,1,1,1,1,2,1,0,0
4,9,0,39.08333333,0.5,0,1,0,0,0,1,0,0,0,1
2,8,1,46,2.583333333,0,1,1,0,1,1,2,1,0,0
2,10,3,25.58333333,3.083333333,0,0,1,0,1,1,2,1,0,1
1,12,0,27.33333333,0.833333333,0,1,1,0,0,1,0,0,0,0
1,10,1,25.75,0.25,0,0,0,1,0,1,0,0,0,0
3,12,1,34.33333333,4.25,0,0,1,0,1,1,2,1,0,0
0,9,1,30.16666667,1.75,0,1,1,0,1,1,2,1,0,1
0,11,4,21.41666667,0.75,0,0,1,0,0,1,0,0,0,1
0,10,0,18.75,0.333333333,0,0,1,0,0,1,0,0,0,1
1,9,5,25.41666667,5,0,0,1,0,1,1,2,1,0,1
0,12,0,20.08333333,0.416666667,0,0,0,0,0,1,0,0,0,0
0,12,1,20.08333333,1.5,0,1,1,0,0,1,0,0,0,0
0,12,0,24.16666667,0.333333333,1,0,0,0,0,1,0,0,0,0
8,10,0,44.5,0.333333333,1,0,1,1,0,1,0,0,0,1
0,7,2,21.83333333,1.75,0,0,1,0,0,1,0,0,0,1
0,9,0,15.83333333,0.5,0,0,1,0,0,1,0,0,0,0
